feature_id	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	A15M_R1	A15M_R2	A15M_R3	A45M_R1	A45M_R2	A45M_R3	A5M_R1	A5M_R2	A5M_R3	M_R1	M_R2	M_R3	PPL_R1
FT05423	305.134989257512	305.13490347553	305.135162409134	136.024353240447	135.200128946392	139.676147525177	7813907.07855891	4945876.85173647	7209387.08689857	32404105.4274212	32475104.1349566	32924816.7611018	8945016.18820113	8723185.15066883	8987733.30159953	10760365.9805749	8963260.800079	9136797.20837002	7496.18581642374
FT05428	305.150363917915	305.140897389466	305.150544783151	238.965571716891	238.375206907424	248.448896937967	14351342.1082892	9972252.817164	15238429.8504584	21206587.8496034	19532348.2532375	20165048.4351944	14976421.2376398	14580555.435303	17541823.9369333	11273723.2626691	13677328.6722288	16787954.4521733	1847316.15856259
FT05429	305.150356351657	305.149912999788	305.150471746506	172.853308480636	172.556611568329	176.245401313047	19623591.1833526	21060884.4468663	21466074.1981097	28439578.1310257	33114096.6232931	23687125.2734986	23168669.647481	22923585.0498976	11339759.775194	24403610.0642436	24581267.8241806	24161547.0281599	NA
FT05430	305.157897901849	305.157667698789	305.157967291095	163.099290480966	162.248061922263	163.82722212869	30027658.5600794	29985957.4232161	30178446.9019233	52657444.2363527	54766737.2152608	54752974.7402495	31173503.9415863	35790474.5119679	30821046.5091057	33504944.8573192	29885256.1211919	36829502.2791491	1421776.72581568
FT05438	305.211749486513	305.211634707373	305.211879306265	598.522923783726	598.121190547715	598.966295067481	13663196.1888431	18009426.3162735	17243205.2322902	53716181.7896315	54623821.9877418	58893198.225946	10506823.2596579	11225382.6540252	10276167.4444336	6841205.33967982	8006899.83488427	8132203.62614086	806515.712525216
FT05439	305.211763079153	305.211686810227	305.211905376542	608.659459553933	608.399748612193	609.416790506717	10807979.6970614	12633790.726425	9929176.03468118	29328333.3560743	43327056.3044424	33778879.7608503	10451222.5096241	11357589.086953	9264667.11534755	8589708.76958124	8072057.00677094	10994711.0623141	981909.446762948
FT05440	305.211677711736	305.211492648425	305.211752381687	578.826475380774	578.387345306246	579.510589310018	34579286.6399459	39120892.0950281	44384004.9019144	26835485.7266604	29614484.2471078	27495356.0060576	17792241.185686	23694950.1921981	36685611.5229155	8136729.23470946	8660587.18288215	10239965.1454009	931652.518859188
FT05441	305.21180449592	305.211773177048	305.211877415566	586.933298331254	585.810323956651	589.122822350601	19568728.6631276	16878704.5444199	31774541.8497378	106315086.950791	109126097.173099	110287244.929119	16300281.5381504	20012946.0460455	18393936.6219194	9031073.85574589	9814069.21339426	11014831.9108749	979304.28536626
FT05442	305.211797682397	305.211735747512	305.211864885571	563.443851755695	562.580716910752	563.954045174812	21287392.0633659	21417456.6846161	22060746.0765153	33500810.5548481	44797319.1609754	44907997.5377077	17699682.8178638	20505014.6926452	17139215.7621275	12108405.113661	14859863.8175322	15978237.8076481	1718304.02332234
FT05448	305.269233229629	305.269139358609	305.269389359608	596.597178956451	596.24221504303	597.524592577864	10596129.0205785	12216697.8783805	12435393.7941374	15508165.9677091	16485439.7151371	17284804.6461227	11559660.0652121	16033290.9343152	14578189.0699818	15340695.1979175	10963780.729656	16262912.2336804	1662196.17103609
FT05454	306.134489601222	306.134328093525	306.134608624607	198.355905471967	197.747160043406	199.243556116388	14300276.2426406	12925058.0845027	11563843.1012221	16950866.6813282	14412347.9381743	17898140.0677467	14782575.4186753	9789332.83457953	14500556.6565976	10864501.5645027	12856656.6504178	12363558.4150181	3841.06328565997
FT05455	306.134368733029	306.134203482586	306.134501745252	232.461968108328	231.778735885343	237.973754404182	8403423.28827183	9279211.45480343	8407179.22549888	9721753.61012955	13053679.347213	13535474.654252	9541015.52421283	9647490.9682596	9782072.62301095	9153401.25958667	9180145.98406687	9076536.42978207	573891.990934163
FT05458	306.17077595089	306.170689420175	306.170822589027	134.070785379037	133.557634725593	134.820483213521	26329833.330691	39258173.2799137	23074879.2286391	27637477.7637863	45780950.9210268	45003306.1858615	29474152.5943395	25647637.0224738	29391298.1402044	25640367.1139925	26315565.2592315	31219254.1256805	4002.50840337957
FT05459	306.170727429642	306.170560345628	306.17080316843	194.007910932633	193.365606573294	194.708185620317	24487477.0465458	27564963.44946	26374116.926367	30270430.2930557	27891789.9336751	29413442.2214276	36587824.0598931	42699898.8206175	36726325.8311359	33743978.5690407	37293563.6904239	30908225.19316	100966.891312415
FT05462	306.191708389188	306.191688150868	306.191725995338	429.766062218793	429.463336260741	429.830347758228	14710786.2395766	5201206.20630254	4613533.0240719	31543731.80608	34268203.8392734	35349169.381039	12173140.7449712	3851702.48412205	3842324.19118889	3544470.44096118	11610885.5011655	3860808.94190403	6176124.57844579
FT05463	306.191661555267	306.191564071866	306.191777002019	396.15160177759	395.82670321709	396.439514860144	14335899.9101712	4356690.30874631	4863083.65003965	22756532.4886697	21326790.8690621	23301276.2255379	13421338.0348628	4137362.04533073	3746399.62933279	3628751.10425081	12921397.045907	3849027.25519239	6482471.95880314
FT05464	306.191714935682	306.191705351191	306.191768028057	372.448106860926	371.590065027137	372.50136519293	9032030.32812849	2995115.00165292	2199850.36930511	12535314.3475476	10707196.885357	12098006.7402097	8844781.96579752	2280565.10552257	2466660.37087186	2072638.99678818	7997742.2289084	1873536.20447165	5518878.73403435
FT05483	306.207057923034	306.206915176827	306.207211001372	235.534829947034	234.966879246991	235.71090154558	14102595.8242114	11416662.0913617	13522950.5827397	17224528.2774334	15239002.2671543	11748420.7211263	15006008.1049568	12213340.0844214	13837424.5789836	16823469.2592874	14423647.5443348	15156099.8630612	379547.816231979
FT05484	306.20723991289	306.20723991289	306.20723991289	559.071768431568	559.071768431568	559.071768431568	3338982.54955335	2337348.53507979	2715886.24870672	4182522.5880833	3969988.29742762	5755462.97610456	1897745.254261	1943200.60611152	1979676.92607287	1642431.47049403	3179211.9525254	1451506.67159165	117620996.595906
FT05485	306.206745005784	306.206745005784	306.206745005784	350.169535600312	350.169535600312	350.169535600312	1563392.68016881	924356.426577469	1329440.1638527	998870.779275302	2410000.26329356	1468663.40117296	485850.038206381	715109.145489878	430604.648309468	150031.311089759	778890.036349573	814058.430732905	6831195.49031959
FT05486	306.206963821493	306.206963821493	306.206963821493	503.31494373875	503.31494373875	503.31494373875	7867874.33234509	7959492.70617515	9024950.6588716	9459128.49614366	10846423.7936986	9716191.57435708	7898738.70406738	8704961.12817948	6963126.43054181	7079126.23998581	6404642.91889048	6756491.64042255	6210481665.96089
FT05487	306.206946775814	306.206946775814	306.206946775814	321.159169751854	321.159169751854	321.159169751854	2039241.71518305	2097894.27307915	1633040.13218508	2947114.36483512	3601410.91039491	4088520.25704372	1516081.83502286	1251332.47416527	1219158.77053334	931694.801776813	1409073.75252146	1780487.11931887	3790101.32088609
FT05493	306.243421165723	306.243236360995	306.243538643565	393.278608463661	392.664252975347	393.549115765428	4007829.92481804	4099627.928662	4517383.85025004	18686969.9822822	18066825.8344602	17454070.8069201	2893906.15293397	2014587.21177899	2601021.12320817	629491.481442363	540219.017236423	657449.703368785	136463.795408297
FT05496	306.280044040315	306.279845383761	306.280085801447	663.822690406465	663.126166388133	664.232231994344	1286202.28469517	4188256.28884823	3961228.85367296	11230717.8883518	11890653.9362789	11279617.638795	522994.968377716	1479550.69602944	1653822.75261893	46856.7670775822	NA	81588.9853309062	NA
FT05508	307.132596217181	307.130488011443	307.13289696688	172.556611568329	171.923760880696	173.009526666835	19435610.8247668	17647676.9953741	18640815.4896838	52908801.6098563	51877648.500338	44208065.8559231	17668591.5857659	19910938.0375821	17002618.7967933	20527398.7596009	20521966.2077093	21111738.1826589	NA
FT05509	307.1507074517	307.150380106316	307.150911016397	44.8583787543062	44.0743203481577	45.796989192145	20418927.9731052	20974975.0079948	9125989.85254834	12216666.0932874	13989005.6680197	15074555.5585009	14074345.4855823	17206702.5190422	16552373.4358148	17620348.2180716	8613830.77447385	6835979.55338819	238516.849378911
FT05510	307.150509582745	307.150398816712	307.150705197898	59.3077793803539	58.3659428055898	59.8368451075651	11015422.0953293	8007743.74035066	10777549.0234453	6990093.2664961	8864437.34950963	8896228.88967648	8217443.03041944	7818117.29399852	10661623.3611911	9402087.94074536	11375626.9036593	9579987.64700525	25832.0446225146
FT05513	307.1661349101	307.165395325194	307.17439604256	193.513697718963	191.953128855	194.994804984214	25272267.3776893	21855128.9981906	21714960.0462537	29845310.495267	24308882.0200313	25130850.0540113	36652459.0578474	32210395.9945772	4981516.7241523	19974605.2170099	24520669.5654694	22079777.1059171	8803.58365868978
FT05514	307.165990562505	307.165603595886	307.176734110447	210.251491282359	208.554474298802	217.494234643335	27072787.3347782	33347362.8810844	31843972.3132273	34042564.7989358	54953735.7975786	55558162.1947309	37085719.5212624	29105919.2801799	37613215.1897439	33586080.1888024	22560261.2115789	19293426.6638811	202551.711812801
FT05517	307.19065276767	307.190588492833	307.190717042506	530.506713401315	529.139278178306	531.874148624324	18220144.7663429	15134699.1604024	16029881.2341586	20364968.3042274	22652454.5613758	21495051.6621049	18010238.5887383	16748094.7361015	9764404.31069825	15132977.0567242	17338364.6163638	17875747.6807418	3142886.06309117
FT05518	307.190426949143	307.190426949143	307.190426949143	522.208790069247	522.208790069247	522.208790069247	8880009.22123437	8380646.10983169	8339618.35360725	9957270.73088046	10198830.2857693	10506835.8619371	10991108.1898304	9394457.81718009	8975345.22725365	8685078.95986356	9682869.22217224	9557402.9472043	2196652.18649199
